county_fips,county_name,state_fips,state_abbr,total_population,total_households,median_household_income,median_age,pct_65_plus,pct_rural,pct_served,pct_underserved,pct_unserved,pct_below_benchmark,complaints_total,complaints_per_1k_hh,complaints_wireless_wireline,complaints_internet,complaints_tv_video,complaints_emergency,complaints_radio,complaints_accessibility,complaints_billing_dispute,complaints_other,desert_cutoff,is_digital_desert,data_center_count,planned_count,planned_mw,operational_mw,modeled_water_l_per_year,c_availability_gap,c_complaint_friction,c_socioeconomic,equity_index,infra_norm,access_norm,mismatch_score,mismatch_quadrant
01021,Chilton County,,,76501,29325,65663,34.0,0.1699,0.2957,0.6236,0.3323,0.044,0.3764,404,13.78,289,68,35,5,5,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.39940577249575554,0.45028790786948175,0.3579208481580227,40.68,0.0,0.4036116862203819,0.0,low_compute_served
01023,Choctaw County,,,67264,26036,63593,39.0,0.131,0.1408,0.8338,0.13,0.0363,0.1662,160,6.15,114,27,14,2,2,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.17635823429541594,0.15738963531669867,0.2928261743895711,19.88,0.0,0.16436622958362088,0.0,low_compute_served
01025,Clarke County,,,27310,8808,68017,41.8,0.2112,0.6605,0.4096,0.3792,0.2112,0.5904,174,19.75,124,29,15,2,2,1,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.6264855687606112,0.6794625719769674,0.4961096103984754,61.24,0.0,0.640096618357488,0.0,low_compute_underserved
01027,Clay County,,,104709,39357,77893,35.8,0.0797,0.0399,0.9345,0.0384,0.0271,0.0655,409,10.39,292,69,35,5,5,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.06950339558573854,0.3201535508637236,0.1296058897408674,17.23,0.0,0.13388543823326432,0.0,low_compute_served
01029,Cleburne County,,,45408,18299,61899,34.6,0.1766,0.2793,0.8528,0.0664,0.0808,0.1472,206,11.26,147,35,18,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.15619694397283532,0.35355086372360844,0.3815310280626377,28.16,0.0,0.25960432482171614,0.0,low_compute_served
01031,Coffee County,,,8460,3260,43070,42.1,0.2174,0.6691,0.5272,0.3453,0.1275,0.4728,27,8.28,19,5,2,0,0,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.50169779286927,0.23915547024952014,0.6694039206174413,45.17,0.0,0.4552564987347596,0.0,low_compute_served
01033,Colbert County,,,40069,14883,60487,41.2,0.1708,0.4656,0.6325,0.2369,0.1306,0.3675,227,15.25,162,38,20,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.3899617996604414,0.5067178502879078,0.4524712506670969,44.65,0.0,0.44927536231884063,0.0,low_compute_served
01035,Conecuh County,,,7458,2681,40072,41.3,0.2744,1.0,0.2419,0.5497,0.2084,0.7581,49,18.28,35,8,4,1,1,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.8044354838709677,0.6230326295585412,0.84137754244316,75.02,0.0,0.798596733379342,0.0,low_compute_underserved
01037,Coosa County,,,76410,27454,75254,31.6,0.078,0.0,0.8866,0.1134,0.0,0.1134,318,11.58,227,54,27,4,4,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.12033106960950764,0.36583493282149715,0.13215945336978438,20.92,0.0,0.17632850241545897,0.0,low_compute_served
01039,Covington County,,,23580,8417,56406,32.4,0.1703,0.4791,0.5892,0.3192,0.0916,0.4108,102,12.12,73,17,9,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.4359083191850594,0.38656429942418424,0.4840917057202785,43.07,0.0,0.431101909362779,0.0,low_compute_served
01041,Crenshaw County,,,19876,7635,68374,40.3,0.2138,0.7259,0.4463,0.4458,0.1078,0.5537,192,25.15,137,32,17,2,2,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5875424448217317,0.8867562380038386,0.518268827584923,67.49,0.0,0.7119852772026685,0.0,low_compute_underserved
01043,Cullman County,,,10604,3855,56082,36.9,0.1948,0.5745,0.4359,0.4348,0.1294,0.5641,38,9.86,27,6,3,0,0,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.5985780984719865,0.29980806142034544,0.5351878711061566,47.82,0.0,0.48573729008511624,0.0,low_compute_served
01045,Dale County,,,118140,45994,83355,33.6,0.1512,0.1752,0.8355,0.1561,0.0084,0.1645,446,9.7,319,75,38,6,6,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.17455432937181664,0.29366602687140114,0.18590748306166177,21.91,0.0,0.18771566597653555,0.0,low_compute_served
01047,Dallas County,,,20654,7922,60490,47.8,0.2395,0.707,0.3844,0.4451,0.1705,0.6156,142,17.92,102,24,12,2,2,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.6532258064516129,0.6092130518234166,0.5805326167800402,61.96,0.0,0.6483781918564528,0.0,low_compute_underserved
01049,DeKalb County,,,14602,5699,49544,44.4,0.2677,0.6741,0.4654,0.3879,0.1466,0.5346,60,10.53,43,10,5,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5672750424448216,0.3255278310940499,0.6599005710293206,50.58,0.0,0.5174833218311479,0.0,low_compute_underserved
01051,Elmore County,,,16081,6377,56923,36.8,0.2625,0.7009,0.6673,0.2324,0.1003,0.3327,59,9.25,42,10,5,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.35303480475382004,0.2763915547024952,0.6167768110285083,39.21,0.0,0.38670347365999547,0.0,low_compute_served
01053,Escambia County,,,49291,17237,65911,39.4,0.2481,0.4969,0.6475,0.2628,0.0897,0.3525,301,17.46,215,51,26,4,4,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.37404499151103565,0.5915547024952015,0.4763064366757192,47.57,0.0,0.482861743731309,0.0,low_compute_served
01055,Etowah County,,,39902,14234,75114,41.0,0.2217,0.583,0.5969,0.2516,0.1514,0.4031,227,15.95,162,38,20,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.4277376910016978,0.5335892514395393,0.42832319720231116,46.49,0.0,0.4704393834828618,0.0,low_compute_served
01057,Fayette County,,,42365,14883,68599,35.0,0.1742,0.3218,0.6687,0.211,0.1203,0.3313,222,14.92,159,38,19,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.3515492359932088,0.4940499040307102,0.35020659062419957,40.11,0.0,0.39705544053370134,0.0,low_compute_served
01059,Franklin County,,,43346,16019,68002,35.6,0.132,0.2593,0.8629,0.1113,0.0258,0.1371,200,12.49,143,34,17,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.14547962648556875,0.4007677543186181,0.3055358255190381,27.48,0.0,0.25178283873936047,0.0,low_compute_served
01061,Geneva County,,,378361,134336,80068,32.7,0.1248,0.0,0.9076,0.0924,0.0,0.0924,1265,9.42,904,214,109,16,16,4,1,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.09804753820033955,0.28291746641074855,0.12975441807147214,17.07,0.0,0.1320450885668277,0.0,low_compute_served
01063,Greene County,,,15013,6163,62882,37.9,0.2195,0.7734,0.2906,0.4667,0.2427,0.7094,90,14.6,64,15,8,1,1,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.7527589134125637,0.4817658349328215,0.5751320502920558,61.35,0.0,0.6413618587531632,0.0,low_compute_underserved
01065,Hale County,,,13130,4640,42302,35.8,0.151,0.5281,0.5129,0.3719,0.1152,0.4871,65,14.01,46,11,6,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5168718166383701,0.4591170825335893,0.5830430789526833,51.32,0.0,0.5259949390384173,0.0,low_compute_underserved
01067,Henry County,,,8962,3287,58060,41.5,0.2816,0.7547,0.3325,0.503,0.1646,0.6675,62,18.86,44,10,5,1,1,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.7082979626485568,0.6452975047984644,0.6401444155497613,66.92,0.0,0.705429031515988,0.0,low_compute_underserved
01069,Houston County,,,54801,19613,67982,35.5,0.1115,0.2719,0.9102,0.055,0.0348,0.0898,254,12.95,182,43,22,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.09528862478777589,0.41842610364683297,0.29707157427538894,25.88,0.0,0.23337934207499425,0.0,low_compute_served
01071,Jackson County,,,104938,38062,66313,31.0,0.1248,0.0646,0.9685,0.0,0.0315,0.0315,319,8.38,228,54,27,4,4,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.03342529711375212,0.2429942418426104,0.24408480037865152,15.94,0.0,0.11904761904761904,0.0,low_compute_served
01073,Jefferson County,,,21743,8520,52536,37.0,0.178,0.58,0.2894,0.516,0.1946,0.7106,162,19.01,116,27,14,2,2,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.7540322580645161,0.6510556621880998,0.5500982271299996,66.7,0.0,0.7028985507246377,0.0,low_compute_underserved
01075,Lamar County,,,8668,3502,36778,43.8,0.3138,1.0,0.2092,0.5707,0.2202,0.7908,31,8.85,22,5,3,0,0,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.8391341256366722,0.26103646833013433,0.8883424235278455,64.91,0.0,0.6823096388313779,0.0,low_compute_underserved
01077,Lauderdale County,,,8842,3410,50806,43.5,0.2772,0.7739,0.3787,0.414,0.2074,0.6213,47,13.78,34,8,4,1,1,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.659274193548387,0.45028790786948175,0.6924432864325181,59.44,0.0,0.6193926846100759,0.0,low_compute_underserved
01079,Lawrence County,,,57257,20561,63431,34.1,0.1508,0.1939,0.8105,0.1395,0.0499,0.1895,173,8.41,124,29,15,2,2,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.20108234295415958,0.24414587332053744,0.325054866219566,24.71,0.0,0.21992178513917646,0.0,low_compute_served
01081,Lee County,,,64386,22966,71741,40.2,0.1991,0.3426,0.7623,0.2002,0.0375,0.2377,221,9.62,158,37,19,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.2522283531409168,0.29059500959692897,0.35233476049387175,29.07,0.0,0.2700713135495744,0.0,low_compute_served
01083,Limestone County,,,49973,20031,74943,34.0,0.1562,0.3112,0.9004,0.0547,0.0449,0.0996,356,17.77,255,60,31,5,5,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.10568760611205433,0.6034548944337811,0.29277253688636956,32.67,0.0,0.3114791810443985,0.0,low_compute_served
01085,Lowndes County,,,10814,4236,44762,43.5,0.3319,0.9157,0.4436,0.408,0.1484,0.5564,37,8.73,26,6,3,0,0,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5904074702886248,0.2564299424184261,0.8170836976575729,53.02,0.0,0.5455486542443065,0.0,low_compute_underserved
01087,Macon County,,,33705,13006,61379,36.2,0.1989,0.4248,0.663,0.2333,0.1037,0.337,134,10.3,96,23,12,2,2,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.35759762308998305,0.3166986564299424,0.45007321146379964,36.64,0.0,0.35714285714285715,0.0,low_compute_served
01089,Madison County,,,29119,11003,53290,38.5,0.1486,0.4199,0.6682,0.1889,0.1429,0.3318,165,15.0,118,28,14,2,2,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.35207979626485564,0.4971209213051823,0.4703806208429848,43.24,0.0,0.4330572808833679,0.0,low_compute_served
01091,Marengo County,,,33134,13276,60357,32.4,0.1378,0.1982,0.8457,0.0982,0.0561,0.1543,139,10.47,99,23,12,2,2,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.1637308998302207,0.32322456813819583,0.3388090236747478,26.33,0.0,0.23855532551184724,0.0,low_compute_served
01093,Marion County,,,75733,30455,87843,36.8,0.0954,0.0,0.7709,0.2291,0.0,0.2291,397,13.04,284,67,34,5,5,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.24310271646859083,0.42188099808061413,0.05925474132435522,25.97,0.0,0.23441453876236484,0.0,low_compute_served
01095,Marshall County,,,33341,12939,67448,30.0,0.1266,0.1897,0.8659,0.1178,0.0164,0.1341,214,16.54,153,36,18,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.1422962648556876,0.5562380038387715,0.28144358383645324,32.2,0.0,0.3060731538992409,0.0,low_compute_served
01097,Mobile County,,,59348,21876,68513,39.7,0.1009,0.2812,0.7235,0.196,0.0805,0.2765,331,15.13,237,56,28,4,4,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.2933998302207131,0.5021113243761997,0.2900598991089955,36.56,0.0,0.3562226823096389,0.0,low_compute_served
01099,Monroe County,,,27363,10846,56546,35.9,0.167,0.3076,0.7726,0.2054,0.022,0.2274,118,10.88,84,20,10,2,2,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.2412988115449915,0.3389635316698657,0.42103925630399536,32.04,0.0,0.30423280423280424,0.0,low_compute_served
01101,Montgomery County,,,36226,13504,63821,39.7,0.1538,0.5298,0.5997,0.3297,0.0706,0.4003,178,13.18,127,30,15,2,2,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.4247665534804754,0.42725527831094046,0.441922841612857,42.99,0.0,0.4301817345295607,0.0,low_compute_served
01103,Morgan County,,,55874,19545,70120,38.4,0.0706,0.2574,0.7701,0.1324,0.0975,0.2299,280,14.33,200,47,24,4,4,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.24395161290322578,0.47140115163147794,0.2517882961808772,32.55,0.0,0.31009891879457097,0.0,low_compute_served
01105,Perry County,,,3968,1584,38859,44.8,0.2499,0.8904,0.2851,0.538,0.177,0.7149,29,18.31,21,5,2,0,0,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.7585950764006791,0.6241842610364683,0.7955603212671062,72.08,0.0,0.7647803082585691,0.0,low_compute_underserved
01107,Pickens County,,,16756,6278,56957,36.5,0.1715,0.5231,0.5808,0.3164,0.1027,0.4192,87,13.86,62,15,7,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.4448217317487267,0.4533589251439539,0.49657897722900635,46.07,0.0,0.4656084656084657,0.0,low_compute_served
01109,Pike County,,,13845,4852,45665,42.6,0.2102,0.756,0.5455,0.3001,0.1544,0.4545,75,15.46,54,13,6,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.4822792869269949,0.5147792706333973,0.6779465473997042,54.26,0.0,0.5598113641591903,0.0,low_compute_underserved
01111,Randolph County,,,11185,4241,43444,44.3,0.1216,0.6369,0.5045,0.3291,0.1664,0.4955,66,15.56,47,11,6,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5257852292020373,0.5186180422264876,0.5948532310564221,54.05,0.0,0.5573959052219921,0.0,low_compute_underserved
01113,Russell County,,,17728,6782,56693,35.7,0.1626,0.4896,0.6272,0.2583,0.1145,0.3728,89,13.12,64,15,8,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.39558573853989815,0.42495201535508637,0.4809671603052229,42.72,0.0,0.4270761444674488,0.0,low_compute_served
01115,St. Clair County,,,166808,58030,70316,39.8,0.1319,0.2062,0.851,0.1275,0.0215,0.149,581,10.01,415,98,50,8,8,2,1,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.158106960950764,0.3055662188099808,0.2714572781655935,23.81,0.0,0.20956981826547044,0.0,low_compute_served
01117,Shelby County,,,8391,3162,50723,43.1,0.2329,0.8438,0.3842,0.4653,0.1505,0.6158,57,18.03,41,10,5,1,1,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.6534380305602716,0.6134357005758158,0.6893526057003079,64.84,0.0,0.6815044858523119,0.0,low_compute_underserved
01119,Sumter County,,,85616,29876,73155,32.5,0.1355,0.1327,0.8171,0.1542,0.0287,0.1829,394,13.19,282,67,34,5,5,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.19407894736842105,0.42763915547024955,0.22908566859753376,28.46,0.0,0.26305498044628484,0.0,low_compute_served
01121,Talladega County,,,2981,1078,29304,41.8,0.3218,1.0,0.2417,0.5362,0.2221,0.7583,7,6.49,5,1,1,0,0,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.8046477079796265,0.17044145873320538,0.9432563073802075,61.73,0.0,0.6457326892109501,0.0,low_compute_underserved
01123,Tallapoosa County,,,16437,6206,54207,39.0,0.229,0.6308,0.5076,0.3576,0.1347,0.4924,69,11.12,49,12,6,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5224957555178268,0.3481765834932822,0.5890961571155688,47.81,0.0,0.4856222682309639,0.0,low_compute_served
01125,Tuscaloosa County,,,30868,11136,51721,32.9,0.2169,0.4785,0.6279,0.2713,0.1007,0.3721,130,11.67,93,22,11,2,2,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.39484295415959253,0.3692898272552783,0.5446905092558639,42.34,0.0,0.4227053140096618,0.0,low_compute_served
01127,Walker County,,,52774,19204,72939,33.0,0.1637,0.1692,0.9543,0.0,0.0457,0.0457,205,10.67,147,35,18,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.04849320882852292,0.33090211132437625,0.2611943896838892,20.05,0.0,0.16632160110420982,0.0,low_compute_served
01129,Washington County,,,61826,21670,68889,37.1,0.1554,0.4775,0.5767,0.3193,0.104,0.4233,397,18.32,284,67,34,5,5,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.4491723259762309,0.6245681381957773,0.3908388935555899,49.6,0.0,0.5062111801242237,0.0,low_compute_underserved
01131,Wilcox County,,,68603,26207,82584,30.9,0.1372,0.1334,0.8503,0.1442,0.0055,0.1497,589,22.47,421,100,51,8,8,2,1,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.1588497453310696,0.783877159309021,0.16753537680680308,37.98,0.0,0.3725557855992639,0.0,low_compute_served
01133,Winston County,,,16151,5968,59804,43.7,0.2776,0.8206,0.4312,0.3503,0.2184,0.5688,29,4.86,21,5,2,0,0,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.6035653650254669,0.10786948176583495,0.649042093539117,44.14,0.0,0.4434092477570738,0.0,low_compute_served
02013,Aleutians East Borough,,,13986,5198,45182,39.3,0.2048,0.6548,0.514,0.3643,0.1217,0.486,80,15.39,57,14,7,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.515704584040747,0.5120921305182341,0.6423208671752211,54.61,0.0,0.5638371290545203,0.0,low_compute_underserved
02016,Aleutians West Census Area,,,74454,26537,60141,33.8,0.1269,0.281,0.7068,0.2218,0.0714,0.2932,350,13.19,250,59,30,5,5,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.3111205432937182,0.42763915547024955,0.3623131000910524,36.47,0.0,0.3551874856222682,0.0,low_compute_served
02020,Anchorage Municipality,,,19714,7742,51196,39.2,0.2358,0.666,0.5075,0.4317,0.0608,0.4925,105,13.56,75,18,9,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5226018675721562,0.44184261036468336,0.6258086729933217,52.01,0.0,0.5339314469749252,0.0,low_compute_underserved
02050,Bethel Census Area,,,4993,1750,35174,44.9,0.2356,1.0,0.2629,0.5357,0.2014,0.7371,32,18.29,23,5,3,0,0,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.7821519524617996,0.6234165067178502,0.8494188443455567,74.34,0.0,0.7907752472969864,0.0,low_compute_underserved
02060,Bristol Bay Borough,,,5980,2159,54565,41.4,0.2052,0.7655,0.4639,0.417,0.1191,0.5361,33,15.28,24,6,3,0,0,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.5688667232597623,0.5078694817658349,0.6187524371180059,56.0,0.0,0.5798251667816885,0.0,low_compute_underserved
02066,Copper River Census Area,,,7840,3133,45646,41.6,0.2502,0.9456,0.2983,0.5418,0.1599,0.7017,44,14.04,31,7,4,1,1,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.7445882852292021,0.46026871401151626,0.769813952880674,65.14,0.0,0.6849551414768806,0.0,low_compute_underserved
02068,Denali Borough,,,47145,16363,73190,38.5,0.2066,0.5171,0.5285,0.2612,0.2103,0.4715,233,14.24,167,39,20,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.500318336162988,0.4679462571976968,0.40850649659879296,46.6,0.0,0.471704623878537,0.0,low_compute_served
02070,Dillingham Census Area,,,30084,9912,59828,36.8,0.1801,0.4085,0.6356,0.2627,0.1017,0.3644,153,15.44,109,26,13,2,2,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.3866723259762309,0.5140115163147793,0.44278157574215593,44.53,0.0,0.4478951000690131,0.0,low_compute_served
02090,Fairbanks North Star Borough,,,60224,21129,69130,32.0,0.1737,0.2373,0.7802,0.1133,0.1065,0.2198,296,14.01,212,50,25,4,4,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.23323429541595925,0.4591170825335893,0.31677354489943055,33.32,0.0,0.31895560156429725,0.0,low_compute_served
02100,Haines Borough,,,14622,5018,51911,38.5,0.1806,0.6013,0.4372,0.3983,0.1645,0.5628,78,15.54,56,13,7,1,1,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.5971986417657046,0.5178502879078694,0.5633705661212925,56.1,0.0,0.5809753853232115,0.0,low_compute_underserved
02105,Hoonah-Angoon Census Area,,,30704,11318,68391,38.2,0.1415,0.3929,0.758,0.1141,0.1279,0.242,120,10.6,86,20,10,2,2,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.2567911714770798,0.32821497120921306,0.35572983454304,30.65,0.0,0.2882447665056361,0.0,low_compute_served
02110,Juneau City and Borough,,,55472,22634,71129,39.0,0.1987,0.4611,0.5911,0.3147,0.0943,0.4089,548,24.21,392,93,47,7,7,2,1,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.43389219015280134,0.8506717850287908,0.3976368602554657,57.07,0.0,0.5921325051759835,0.0,low_compute_underserved
02122,Kenai Peninsula Borough,,,16977,7005,47620,37.4,0.1659,0.4994,0.5499,0.276,0.1741,0.4501,107,15.27,77,18,9,1,1,0,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.4776103565365025,0.5074856046065258,0.5469911800704725,50.54,0.0,0.5170232344145388,0.0,low_compute_underserved
02130,Ketchikan Gateway Borough,,,44795,16359,76670,36.1,0.1175,0.198,0.7098,0.2067,0.0835,0.2902,255,15.59,182,43,22,3,3,1,0,0,0.5591250000000001,False,0.0,0.0,0.0,0.0,0.0,0.30793718166383705,0.5197696737044145,0.21708080690237988,35.94,0.0,0.3490913273521969,0.0,low_compute_served
02150,Kodiak Island Borough,,,10863,4160,47131,40.8,0.2124,0.9341,0.3858,0.4157,0.1985,0.6142,54,12.98,39,9,5,1,1,0,0,0,0.5591250000000001,True,0.0,0.0,0.0,0.0,0.0,0.6517402376910016,0.41957773512476004,0.7319019808180725,59.05,0.0,0.6149068322981366,0.0,low_compute_underserved
